"Crop","State","Season","Area-2020-21","Area-2021-22","Area-2022-23","Area-2023-24","Area-2024-25","Production-2020-21","Production-2021-22","Production-2022-23","Production-2023-24","Production-2024-25","Yield-2020-21","Yield-2021-22","Yield-2022-23","Yield-2023-24","Yield-2024-25"
"Barley","West Bengal","Rabi","251.00","173.00","120.00","100.00","45.00","536.89","287.01","223.20","242.50","135.00","2139.00","1659.00","1860.00","2425.00","3000.00"
"Barley","West Bengal","Total","251.00","173.00","120.00","100.00","45.00","536.89","287.01","223.20","242.50","135.00","2139.00","1659.00","1860.00","2425.00","3000.00"
"Barley","All India","Rabi","592468.00","453324.97","628324.97","551317.00","607579.70","1656339.09","1371358.11","1912919.44","1699235.48","1919458.17","2796.00","3025.00","3044.00","3082.00","3159.00"
"Barley","All India","Total","592468.00","453324.97","628324.97","551317.00","607579.70","1656339.09","1371358.11","1912919.44","1699235.48","1919458.17","2796.00","3025.00","3044.00","3082.00","3159.00"
"Jowar","Andaman And Nicobar Islands","Kharif","","0.00","","","","","0.00","","","","","0.00","","",""
"Jowar","Andaman And Nicobar Islands","Rabi","","","","","","","0.00","","","","","","","",""
"Jowar","Andaman And Nicobar Islands","Total","","0.00","","","","","0.00","","","","","0.00","","",""
"Jowar","Andhra Pradesh","Kharif","3000.00","3000.00","6000.00","6240.00","4000.00","3996.00","2382.00","5640.00","8835.84","1748.00","1332.00","794.00","940.00","1416.00","437.00"
"Jowar","Andhra Pradesh","Rabi","117000.00","74000.00","64000.00","96710.00","79000.00","407394.00","257224.00","278144.00","319723.26","285348.00","3482.00","3476.00","4346.00","3306.00","3612.00"
"Jowar","Andhra Pradesh","Total","120000.00","77000.00","70000.00","102950.00","83000.00","411390.00","259606.00","283784.00","328559.10","287096.00","3428.00","3372.00","4054.00","3191.00","3459.00"
"Jowar","Arunachal Pradesh","Kharif","","0.00","","","","","0.00","","","","","0.00","","",""
"Jowar","Arunachal Pradesh","Rabi","","0.00","","","","","0.00","","","","","0.00","","",""
"Jowar","Arunachal Pradesh","Total","","0.00","","","","","0.00","","","","","0.00","","",""
"Jowar","Assam","Kharif","","","","","","","0.00","","","","","","","",""
"Jowar","Assam","Rabi","","","","","","","0.00","","","","","","","",""
"Jowar","Assam","Total","","","","","","","0.00","","","","","","","",""
"Jowar","Bihar","Kharif","1225.00","1442.00","917.00","747.00","1335.00","1307.08","1538.61","979.36","803.03","1432.46","1067.00","1067.00","1068.00","1075.00","1073.00"
"Jowar","Bihar","Rabi","","","","","","","0.00","","","","","","","",""
"Jowar","Bihar","Total","1225.00","1442.00","917.00","747.00","1335.00","1307.08","1538.61","979.36","803.03","1432.46","1067.00","1067.00","1068.00","1075.00","1073.00"
"Jowar","Chandigarh","Kharif","","0.00","","","","","0.00","","","","","0.00","","",""
"Jowar","Chandigarh","Rabi","","0.00","","","","","0.00","","","","","0.00","","",""
"Jowar","Chandigarh","Total","","0.00","","","","","0.00","","","","","0.00","","",""
"Jowar","Chhattisgarh","Kharif","2060.00","1090.00","750.00","450.00","410.00","2731.56","909.06","1103.25","432.90","335.38","1326.00","834.00","1471.00","962.00","818.00"
"Jowar","Chhattisgarh","Rabi","","","","","","","0.00","","","","","","","",""
"Jowar","Chhattisgarh","Total","2060.00","1090.00","750.00","450.00","410.00","2731.56","909.06","1103.25","432.90","335.38","1326.00","834.00","1471.00","962.00","818.00"
"Jowar","Dadra And Nagar Haveli","Kharif","0.00","0.00","","","","0.00","0.00","","","","0.00","0.00","","",""
"Jowar","Dadra And Nagar Haveli","Rabi","","0.00","","","","","0.00","","","","","0.00","","",""
"Jowar","Dadra And Nagar Haveli","Total","0.00","0.00","","","","0.00","0.00","","","","0.00","0.00","","",""
"Jowar","Daman And Diu","Kharif","","0.00","","","","","0.00","","","","","0.00","","",""
"Jowar","Daman And Diu","Rabi","","0.00","","","","","0.00","","","","","0.00","","",""
"Jowar","Daman And Diu","Total","","0.00","","","","","0.00","","","","","0.00","","",""
"Jowar","Delhi","Kharif","2950.00","2890.00","3000.00","2800.00","2800.00","2811.35","2748.39","3000.00","2520.00","2520.00","953.00","951.00","1000.00","900.00","900.00"
"Jowar","Delhi","Rabi","","","","","","","0.00","","","","","","","",""
"Jowar","Delhi","Total","2950.00","2890.00","3000.00","2800.00","2800.00","2811.35","2748.39","3000.00","2520.00","2520.00","953.00","951.00","1000.00","900.00","900.00"
"Jowar","Goa","Kharif","","","","","","","0.00","","","","","","","",""
"Jowar","Goa","Rabi","","","","","","","0.00","","","","","","","",""
"Jowar","Goa","Total","","","","","","","0.00","","","","","","","",""
"Jowar","Gujarat","Kharif","26460.00","28090.00","18290.00","19630.00","18970.00","39372.48","40252.97","25130.46","24674.91","25913.02","1488.00","1433.00","1374.00","1257.00","1366.00"
"Jowar","Gujarat","Rabi","14610.00","14670.00","13310.00","23030.00","13400.00","18057.96","17295.93","20989.87","41454.00","23758.20","1236.00","1179.00","1577.00","1800.00","1773.00"
"Jowar","Gujarat","Total","41070.00","42760.00","31600.00","42660.00","32370.00","57430.44","57548.90","46120.33","66128.91","49671.22","1398.00","1346.00","1460.00","1550.00","1534.00"
"Jowar","Haryana","Kharif","31280.00","23390.00","26840.00","19240.00","18550.00","16422.00","12326.53","14117.84","10139.48","9775.85","525.00","527.00","526.00","527.00","527.00"
"Jowar","Haryana","Rabi","","","","","","","0.00","","","","","","","",""
"Jowar","Haryana","Total","31280.00","23390.00","26840.00","19240.00","18550.00","16422.00","12326.53","14117.84","10139.48","9775.85","525.00","527.00","526.00","527.00","527.00"
"Jowar","Himachal Pradesh","Kharif","23.00","10.00","","","","10.01","5.60","","","","435.00","560.00","","",""
"Jowar","Himachal Pradesh","Rabi","","","","","","","0.00","","","","","","","",""
"Jowar","Himachal Pradesh","Total","23.00","10.00","","","","10.01","5.60","","","","435.00","560.00","","",""
"Jowar","Jammu And Kashmir","Kharif","0.00","","","","","0.00","0.00","","","","0.00","","","",""
"Jowar","Jammu And Kashmir","Rabi","","","","","","","0.00","","","","","","","",""
"Jowar","Jammu And Kashmir","Total","0.00","","","","","0.00","0.00","","","","0.00","","","",""
"Jowar","Jharkhand","Kharif","1874.00","1563.00","785.00","1052.00","2054.00","1234.97","1276.97","759.10","1070.94","3237.10","659.00","817.00","967.00","1018.00","1576.00"
"Jowar","Jharkhand","Rabi","","","","","","","0.00","","","","","","","",""
"Jowar","Jharkhand","Total","1874.00","1563.00","785.00","1052.00","2054.00","1234.97","1276.97","759.10","1070.94","3237.10","659.00","817.00","967.00","1018.00","1576.00"
"Jowar","Karnataka","Kharif","88000.00","75000.00","62000.00","63000.00","108000.00","176528.00","121275.00","99448.00","109872.00","214056.00","2006.00","1617.00","1604.00","1744.00","1982.00"
"Jowar","Karnataka","Rabi","662000.00","540000.00","493000.00","745000.00","540000.00","727000.00","610200.00","582233.00","832910.00","601020.00","1098.00","1130.00","1181.00","1118.00","1113.00"
"Jowar","Karnataka","Total","750000.00","615000.00","555000.00","808000.00","648000.00","903528.00","731475.00","681681.00","942782.00","815076.00","1205.00","1189.00","1228.00","1167.00","1258.00"
"Jowar","Kerala","Kharif","42.00","31.00","","530.00","","34.99","43.00","","197.19","","833.00","1387.00","","372.00",""
"Jowar","Kerala","Rabi","189.00","163.00","","360.00","1.72","168.97","237.98","","288.00","1.37","894.00","1460.00","","800.00","794.00"
"Jowar","Kerala","Summer","","","1.00","80.00","4.59","","","1.00","92.48","4.59","","","1000.00","1156.00","999.00"
"Jowar","Kerala","Total","231.00","194.00","1.00","970.00","6.31","203.95","280.98","1.00","577.67","5.95","883.00","1448.00","1000.00","596.00","943.00"
"Jowar","Ladakh","Kharif","","0.00","","","","","0.00","","","","","0.00","","",""
"Jowar","Ladakh","Rabi","","0.00","","","","","0.00","","","","","0.00","","",""
"Jowar","Ladakh","Total","","0.00","","","","","0.00","","","","","0.00","","",""
"Jowar","Lakshadweep","Kharif","","0.00","","","","","0.00","","","","","0.00","","",""
"Jowar","Lakshadweep","Rabi","","0.00","","","","","0.00","","","","","0.00","","",""
"Jowar","Lakshadweep","Total","","0.00","","","","","0.00","","","","","0.00","","",""
"Jowar","Madhya Pradesh","Kharif","112000.00","123000.00","97000.00","87000.00","90000.00","217000.00","236037.00","169459.00","162864.00","182970.00","1938.00","1919.00","1747.00","1872.00","2033.00"
"Jowar","Madhya Pradesh","Rabi","0.00","0.00","","","","0.00","0.00","","","","0.00","0.00","","",""
"Jowar","Madhya Pradesh","Total","112000.00","123000.00","97000.00","87000.00","90000.00","217000.00","236037.00","169459.00","162864.00","182970.00","1938.00","1919.00","1747.00","1872.00","2033.00"
"Jowar","Maharashtra","Kharif","378700.00","209160.00","142500.00","111710.00","109390.00","381350.90","161680.68","122835.00","99310.19","125032.77","1007.00","773.00","862.00","889.00","1143.00"
"Jowar","Maharashtra","Rabi","1700200.00","1439500.00","1329100.00","1590850.00","1546360.00","1365260.60","1396315.00","1184228.10","1644938.90","1690171.48","803.00","970.00","891.00","1034.00","1093.00"
"Jowar","Maharashtra","Summer","","","6200.00","37660.00","35670.00","","","5183.20","31370.78","30069.81","","","836.00","833.00","843.00"
"Jowar","Maharashtra","Total","2078900.00","1648660.00","1477800.00","1740220.00","1691420.00","1746611.50","1557995.68","1312246.30","1775619.87","1845274.06","840.00","945.00","888.00","1020.00","1091.00"
"Jowar","Manipur","Kharif","","0.00","","","","","0.00","","","","","0.00","","",""
"Jowar","Manipur","Rabi","","","","","","","0.00","","","","","","","",""
"Jowar","Manipur","Total","","0.00","","","","","0.00","","","","","0.00","","",""
"Jowar","Meghalaya","Kharif","","0.00","","","","","0.00","","","","","0.00","","",""
"Jowar","Meghalaya","Rabi","","0.00","","","","","0.00","","","","","0.00","","",""
"Jowar","Meghalaya","Total","","0.00","","","","","0.00","","","","","0.00","","",""
"Jowar","Mizoram","Kharif","","","","","","","0.00","","","","","","","",""
"Jowar","Mizoram","Rabi","","","","","","","0.00","","","","","","","",""
"Jowar","Mizoram","Total","","","","","","","0.00","","","","","","","",""
"Jowar","Nagaland","Kharif","280.00","268.00","310.00","960.00","812.00","269.92","248.97","299.15","927.36","764.90","964.00","929.00","965.00","966.00","942.00"
"Jowar","Nagaland","Rabi","","","","","","","0.00","","","","","","","",""
"Jowar","Nagaland","Total","280.00","268.00","310.00","960.00","812.00","269.92","248.97","299.15","927.36","764.90","964.00","929.00","965.00","966.00","942.00"
"Jowar","Odisha","Kharif","5500.00","6140.00","7100.00","7100.00","9060.00","3470.50","3862.06","5580.60","5580.60","6486.96","631.00","629.00","786.00","786.00","716.00"
"Jowar","Odisha","Rabi","","","","","","","0.00","","","","","","","",""
"Jowar","Odisha","Total","5500.00","6140.00","7100.00","7100.00","9060.00","3470.50","3862.06","5580.60","5580.60","6486.96","631.00","629.00","786.00","786.00","716.00"
"Jowar","Puducherry","Kharif","","2.00","4.00","7.00","","","5.00","10.00","21.00","","","2500.00","2500.00","3000.00",""
"Jowar","Puducherry","Rabi","","","","","","","0.00","","","","","","","",""
"Jowar","Puducherry","Summer","","","","","2.00","","","","","6.00","","","","","3000.00"
"Jowar","Puducherry","Total","","2.00","4.00","7.00","2.00","","5.00","10.00","21.00","6.00","","2500.00","2500.00","3000.00","3000.00"
"Jowar","Punjab","Kharif","","0.00","","","","","0.00","","","","","0.00","","",""
"Jowar","Punjab","Rabi","","","","","","","0.00","","","","","","","",""
"Jowar","Punjab","Total","","0.00","","","","","0.00","","","","","0.00","","",""
"Jowar","Rajasthan","Kharif","559686.00","619982.00","637279.00","509278.00","641403.00","589909.04","535664.45","567178.31","451220.31","520178.00","1054.00","864.00","890.00","886.00","811.00"
"Jowar","Rajasthan","Rabi","0.00","0.00","","","","0.00","0.00","","","","0.00","0.00","","",""
"Jowar","Rajasthan","Summer","","","","111.00","236.00","","","","120.99","156.00","","","","1090.00","661.00"
"Jowar","Rajasthan","Total","559686.00","619982.00","637279.00","509389.00","641639.00","589909.04","535664.45","567178.31","451341.30","520334.00","1054.00","864.00","890.00","886.00","811.00"
"Jowar","Sikkim","Kharif","","0.00","","","","","0.00","","","","","0.00","","",""
"Jowar","Sikkim","Rabi","","","","","","","0.00","","","","","","","",""
"Jowar","Sikkim","Total","","0.00","","","","","0.00","","","","","0.00","","",""
"Jowar","Tamil Nadu","Kharif","211800.00","185110.00","166050.00","158530.00","149340.00","240181.20","198067.70","138485.70","157895.88","193096.62","1134.00","1070.00","834.00","996.00","1293.00"
"Jowar","Tamil Nadu","Rabi","193620.00","212120.00","184620.00","183000.00","189190.00","187036.92","163968.76","146772.90","120414.00","217000.93","966.00","773.00","795.00","658.00","1147.00"
"Jowar","Tamil Nadu","Summer","","","9500.00","13050.00","40.00","","","7552.50","8586.90","45.88","","","795.00","658.00","1147.00"
"Jowar","Tamil Nadu","Total","405420.00","397230.00","360170.00","354580.00","338570.00","427218.12","362036.46","292811.10","286896.78","410143.43","1054.00","911.00","813.00","809.00","1211.00"
"Jowar","Telangana","Kharif","43000.00","15000.00","15000.00","12000.00","17970.00","34873.00","9930.00","10200.00","9708.00","14717.43","811.00","662.00","680.00","809.00","819.00"
"Jowar","Telangana","Rabi","48000.00","54000.00","53000.00","97000.00","149310.00","120816.00","107136.00","109339.00","229017.00","370146.96","2517.00","1984.00","2063.00","2361.00","2479.00"
"Jowar","Telangana","Total","91000.00","69000.00","68000.00","109000.00","167280.00","155689.00","117066.00","119539.00","238725.00","384864.39","1711.00","1697.00","1758.00","2190.00","2301.00"
"Jowar","Tripura","Kharif","189.00","0.00","","","","161.03","0.00","","","","852.00","0.00","","",""
"Jowar","Tripura","Rabi","0.00","0.00","","","","0.00","0.00","","","","0.00","0.00","","",""
"Jowar","Tripura","Total","189.00","0.00","","","","161.03","0.00","","","","852.00","0.00","","",""
"Jowar","Uttar Pradesh","Kharif","174000.00","171000.00","198000.00","289000.00","268000.00","274572.00","269838.00","315414.00","462400.00","434578.08","1578.00","1578.00","1593.00","1600.00","1622.00"
"Jowar","Uttar Pradesh","Rabi","","","","","","","0.00","","","","","","","",""
"Jowar","Uttar Pradesh","Total","174000.00","171000.00","198000.00","289000.00","268000.00","274572.00","269838.00","315414.00","462400.00","434578.08","1578.00","1578.00","1593.00","1600.00","1622.00"
"Jowar","Uttarakhand","Kharif","","","","","","","0.00","","","","","","","",""
"Jowar","Uttarakhand","Rabi","","","","","","","0.00","","","","","","","",""
"Jowar","Uttarakhand","Total","","","","","","","0.00","","","","","","","",""
"Jowar","West Bengal","Kharif","186.00","188.00","165.00","135.00","120.00","100.07","100.96","93.06","81.00","75.00","538.00","537.00","564.00","600.00","625.00"
"Jowar","West Bengal","Rabi","","","","","","","0.00","","","","","","","",""
"Jowar","West Bengal","Total","186.00","188.00","165.00","135.00","120.00","100.07","100.96","93.06","81.00","75.00","538.00","537.00","564.00","600.00","625.00"
"Jowar","All India","Kharif","1642255.00","1466356.00","1381990.00","1289409.00","1442214.00","1986336.08","1598192.95","1479732.83","1508554.63","1736917.57","1210.00","1090.00","1071.00","1170.00","1204.00"
"Jowar","All India","Rabi","2735619.00","2334453.00","2137030.00","2735950.00","2517261.72","2825734.45","2552377.67","2321706.87","3188745.16","3187446.94","1033.00","1093.00","1086.00","1165.00","1266.00"
"Jowar","All India","Summer","","","15701.00","50901.00","35952.59","","","12736.70","40171.15","30282.28","","","811.00","789.00","842.00"
"Jowar","All India","Total","4377874.00","3800809.00","3534721.00","4076260.00","3995428.31","4812070.53","4150570.62","3814176.40","4737470.94","4954646.78","1099.00","1092.00","1079.00","1162.00","1240.00"
"Bajra","Andaman And Nicobar Islands","Kharif","","0.00","","","","","0.00","","","","","0.00","","",""
"Bajra","Andaman And Nicobar Islands","Total","","0.00","","","","","0.00","","","","","0.00","","",""
"Bajra","Andhra Pradesh","Kharif","31000.00","31000.00","21000.00","23080.00","27000.00","70711.00","55397.00","42567.00","48375.68","62640.00","2281.00","1787.00","2027.00","2096.00","2320.00"
"Bajra","Andhra Pradesh","Summer","","","4000.00","3000.00","4000.00","","","8108.00","6324.00","8964.00","","","2027.00","2108.00","2241.00"
"Bajra","Andhra Pradesh","Total","31000.00","31000.00","25000.00","26080.00","31000.00","70711.00","55397.00","50675.00","54699.68","71604.00","2281.00","1787.00","2027.00","2097.00","2310.00"
"Bajra","Arunachal Pradesh","Kharif","","0.00","","","","","0.00","","","","","0.00","","",""
"Bajra","Arunachal Pradesh","Total","","0.00","","","","","0.00","","","","","0.00","","",""
"Bajra","Assam","Kharif","","","","","","","0.00","","","","","","","",""
"Bajra","Assam","Total","","","","","","","0.00","","","","","","","",""
"Bajra","Bihar","Kharif","4219.00","2889.00","2352.00","2651.00","3057.00","4784.35","3293.46","2681.28","3016.84","3185.39","1134.00","1140.00","1140.00","1138.00","1042.00"
"Bajra","Bihar","Total","4219.00","2889.00","2352.00","2651.00","3057.00","4784.35","3293.46","2681.28","3016.84","3185.39","1134.00","1140.00","1140.00","1138.00","1042.00"
"Bajra","Chandigarh","Kharif","","0.00","","","","","0.00","","","","","0.00","","",""
"Bajra","Chandigarh","Total","","0.00","","","","","0.00","","","","","0.00","","",""
"Bajra","Chhattisgarh","Kharif","40.00","60.00","100.00","120.00","110.00","20.60","25.74","45.80","50.28","48.18","515.00","429.00","458.00","419.00","438.00"
"Bajra","Chhattisgarh","Total","40.00","60.00","100.00","120.00","110.00","20.60","25.74","45.80","50.28","48.18","515.00","429.00","458.00","419.00","438.00"
"Bajra","Dadra And Nagar Haveli","Kharif","","","496.00","500.00","500.00","","0.00","753.42","768.00","768.00","","","1519.00","1536.00","1536.00"
"Bajra","Dadra And Nagar Haveli","Total","","","496.00","500.00","500.00","","0.00","753.42","768.00","768.00","","","1519.00","1536.00","1536.00"
"Bajra","Daman And Diu","Kharif","496.00","496.00","","","","748.46","758.88","","","","1509.00","1530.00","","",""
"Bajra","Daman And Diu","Total","496.00","496.00","","","","748.46","758.88","","","","1509.00","1530.00","","",""
"Bajra","Delhi","Kharif","1325.00","1365.00","1430.00","1520.00","1560.00","5339.75","3749.66","4647.50","4864.00","4992.00","4030.00","2747.00","3250.00","3200.00","3200.00"
"Bajra","Delhi","Total","1325.00","1365.00","1430.00","1520.00","1560.00","5339.75","3749.66","4647.50","4864.00","4992.00","4030.00","2747.00","3250.00","3200.00","3200.00"
"Bajra","Goa","Kharif","","","","","","","0.00","","","","","","","",""
"Bajra","Goa","Total","","","","","","","0.00","","","","","","","",""
"Bajra","Gujarat","Kharif","460260.00","446210.00","184120.00","197220.00","168310.00","1008889.92","1089644.82","326813.00","350262.72","310363.64","2192.00","2442.00","1775.00","1776.00","1844.00"
"Bajra","Gujarat","Summer","","","317840.00","322810.00","329190.00","","","966869.28","955388.48","948656.45","","","3042.00","2960.00","2882.00"
"Bajra","Gujarat","Total","460260.00","446210.00","501960.00","520030.00","497500.00","1008889.92","1089644.82","1293682.28","1305651.20","1259020.09","2192.00","2442.00","2577.00","2511.00","2531.00"
"Bajra","Haryana","Kharif","569200.00","483100.00","526250.00","527720.00","573760.00","1350142.40","1119825.80","1199850.00","1160984.00","1276386.50","2372.00","2318.00","2280.00","2200.00","2225.00"
"Bajra","Haryana","Total","569200.00","483100.00","526250.00","527720.00","573760.00","1350142.40","1119825.80","1199850.00","1160984.00","1276386.50","2372.00","2318.00","2280.00","2200.00","2225.00"
"Bajra","Himachal Pradesh","Kharif","523.00","568.00","539.00","377.00","336.00","291.31","290.82","258.72","180.96","161.28","557.00","512.00","480.00","480.00","480.00"
"Bajra","Himachal Pradesh","Total","523.00","568.00","539.00","377.00","336.00","291.31","290.82","258.72","180.96","161.28","557.00","512.00","480.00","480.00","480.00"
"Bajra","Jammu And Kashmir","Kharif","13142.00","8697.00","17583.00","18903.00","18903.00","6465.86","5174.72","10321.22","9716.14","9716.14","492.00","595.00","587.00","514.00","514.00"
"Bajra","Jammu And Kashmir","Total","13142.00","8697.00","17583.00","18903.00","18903.00","6465.86","5174.72","10321.22","9716.14","9716.14","492.00","595.00","587.00","514.00","514.00"
"Bajra","Jharkhand","Kharif","127.00","141.00","235.00","360.00","866.00","81.66","87.14","136.30","279.00","621.79","643.00","618.00","580.00","775.00","718.00"
"Bajra","Jharkhand","Total","127.00","141.00","235.00","360.00","866.00","81.66","87.14","136.30","279.00","621.79","643.00","618.00","580.00","775.00","718.00"
"Bajra","Karnataka","Kharif","222000.00","148000.00","116000.00","128000.00","119000.00","275502.00","171384.00","162400.00","162560.00","153510.00","1241.00","1158.00","1400.00","1270.00","1290.00"
"Bajra","Karnataka","Summer","","","12000.00","","","","","15000.00","","","","","1250.00","",""
"Bajra","Karnataka","Total","222000.00","148000.00","128000.00","128000.00","119000.00","275502.00","171384.00","177400.00","162560.00","153510.00","1241.00","1158.00","1386.00","1270.00","1290.00"
"Bajra","Kerala","Kharif","","","1.00","10.00","8.02","","0.00","1.00","20.08","14.42","","","1000.00","2008.00","1798.00"
"Bajra","Kerala","Summer","","","7.00","17.50","9.47","","","11.00","38.13","16.87","","","1571.00","2179.00","1781.00"
"Bajra","Kerala","Total","","","8.00","27.50","17.49","","0.00","12.00","58.21","31.29","","","1500.00","2117.00","1789.00"
"Bajra","Ladakh","Kharif","","0.00","","","","","0.00","","","","","0.00","","",""
"Bajra","Ladakh","Total","","0.00","","","","","0.00","","","","","0.00","","",""
"Bajra","Lakshadweep","Kharif","","0.00","","","","","0.00","","","","","0.00","","",""
"Bajra","Lakshadweep","Total","","0.00","","","","","0.00","","","","","0.00","","",""
"Bajra","Madhya Pradesh","Kharif","327000.00","343000.00","363000.00","388000.00","287000.00","737712.00","868819.00","943437.00","1003205.04","803887.00","2256.00","2533.00","2599.00","2586.00","2801.00"
"Bajra","Madhya Pradesh","Total","327000.00","343000.00","363000.00","388000.00","287000.00","737712.00","868819.00","943437.00","1003205.04","803887.00","2256.00","2533.00","2599.00","2586.00","2801.00"
"Bajra","Maharashtra","Kharif","687500.00","666720.00","407600.00","367220.00","403540.00","656562.50","618716.16","444691.60","212620.38","529040.94","955.00","928.00","1091.00","579.00","1311.00"
"Bajra","Maharashtra","Summer","","","26200.00","36860.00","40560.00","","","23239.40","33247.72","35814.48","","","887.00","902.00","883.00"
"Bajra","Maharashtra","Total","687500.00","666720.00","433800.00","404080.00","444100.00","656562.50","618716.16","467931.00","245868.10","564855.42","955.00","928.00","1079.00","608.00","1272.00"
"Bajra","Manipur","Kharif","","0.00","","","","","0.00","","","","","0.00","","",""
"Bajra","Manipur","Total","","0.00","","","","","0.00","","","","","0.00","","",""
"Bajra","Meghalaya","Kharif","","0.00","","","","","0.00","","","","","0.00","","",""
"Bajra","Meghalaya","Total","","0.00","","","","","0.00","","","","","0.00","","",""
"Bajra","Mizoram","Kharif","","","","","","","0.00","","","","","","","",""
"Bajra","Mizoram","Total","","","","","","","0.00","","","","","","","",""
"Bajra","Nagaland","Kharif","710.00","650.00","2051.00","3213.00","2880.00","719.94","488.80","2206.88","3322.24","2983.68","1014.00","752.00","1076.00","1034.00","1036.00"
"Bajra","Nagaland","Total","710.00","650.00","2051.00","3213.00","2880.00","719.94","488.80","2206.88","3322.24","2983.68","1014.00","752.00","1076.00","1034.00","1036.00"
"Bajra","Odisha","Kharif","1270.00","1560.00","1800.00","1800.00","3130.00","789.94","959.40","1139.40","1139.40","2519.65","622.00","615.00","633.00","633.00","805.00"
"Bajra","Odisha","Total","1270.00","1560.00","1800.00","1800.00","3130.00","789.94","959.40","1139.40","1139.40","2519.65","622.00","615.00","633.00","633.00","805.00"
"Bajra","Puducherry","Kharif","10.00","14.00","27.00","106.00","136.00","26.00","37.00","70.01","318.00","408.00","2600.00","2643.00","2593.00","3000.00","3000.00"
"Bajra","Puducherry","Total","10.00","14.00","27.00","106.00","136.00","26.00","37.00","70.01","318.00","408.00","2600.00","2643.00","2593.00","3000.00","3000.00"
"Bajra","Punjab","Kharif","400.00","1200.00","600.00","700.00","1100.00","256.00","762.00","414.00","549.50","1042.80","640.00","635.00","690.00","785.00","948.00"
"Bajra","Punjab","Total","400.00","1200.00","600.00","700.00","1100.00","256.00","762.00","414.00","549.50","1042.80","640.00","635.00","690.00","785.00","948.00"
"Bajra","Rajasthan","Kharif","4348396.00","3736100.00","4543894.00","4256594.00","4352665.00","4561467.40","3739836.10","5061897.92","4384291.82","4979013.00","1049.00","1001.00","1114.00","1030.00","1144.00"
"Bajra","Rajasthan","Summer","","","27118.00","30926.00","29743.00","","","43117.62","45492.15","47619.00","","","1590.00","1471.00","1601.00"
"Bajra","Rajasthan","Total","4348396.00","3736100.00","4571012.00","4287520.00","4382408.00","4561467.40","3739836.10","5105015.54","4429783.97","5026632.00","1049.00","1001.00","1117.00","1033.00","1147.00"
"Bajra","Sikkim","Kharif","","0.00","","","","","0.00","","","","","0.00","","",""
"Bajra","Sikkim","Total","","0.00","","","","","0.00","","","","","0.00","","",""
"Bajra","Tamil Nadu","Kharif","67410.00","59960.00","32090.00","33330.00","38710.00","158885.37","146122.52","87252.71","105056.00","102658.92","2357.00","2437.00","2719.00","3152.00","2652.00"
"Bajra","Tamil Nadu","Summer","","","13000.00","14470.00","13150.00","","","26130.00","12039.00","21000.55","","","2010.00","832.00","1597.00"
"Bajra","Tamil Nadu","Total","67410.00","59960.00","45090.00","47800.00","51860.00","158885.37","146122.52","113382.71","117095.00","123659.47","2357.00","2437.00","2515.00","2450.00","2384.00"
"Bajra","Telangana","Kharif","10000.00","4000.00","4000.00","5000.00","6920.00","9300.00","4044.00","11808.00","16855.00","7127.60","930.00","1011.00","2952.00","3371.00","1030.00"
"Bajra","Telangana","Total","10000.00","4000.00","4000.00","5000.00","6920.00","9300.00","4044.00","11808.00","16855.00","7127.60","930.00","1011.00","2952.00","3371.00","1030.00"
"Bajra","Tripura","Kharif","","0.00","","","","","0.00","","","","","0.00","","",""
"Bajra","Tripura","Total","","0.00","","","","","0.00","","","","","0.00","","",""
"Bajra","Uttar Pradesh","Kharif","907000.00","905000.00","947000.00","1010000.00","828120.00","2014447.00","1951180.00","2045520.00","2194730.00","1726837.23","2221.00","2156.00","2160.00","2173.00","2085.00"
"Bajra","Uttar Pradesh","Summer","","","","","103000.00","","","","","164903.00","","","","","1601.00"
"Bajra","Uttar Pradesh","Total","907000.00","905000.00","947000.00","1010000.00","931120.00","2014447.00","1951180.00","2045520.00","2194730.00","1891740.23","2221.00","2156.00","2160.00","2173.00","2032.00"
"Bajra","Uttarakhand","Kharif","","","","","","","0.00","","","","","","","",""
"Bajra","Uttarakhand","Total","","","","","","","0.00","","","","","","","",""
"Bajra","West Bengal","Kharif","70.00","72.00","70.00","65.00","60.00","29.75","30.82","29.75","26.65","24.42","425.00","428.00","425.00","410.00","407.00"
"Bajra","West Bengal","Total","70.00","72.00","70.00","65.00","60.00","29.75","30.82","29.75","26.65","24.42","425.00","428.00","425.00","410.00","407.00"
"Bajra","All India","Kharif","7652098.00","6840802.00","7172238.00","6966489.00","6837671.02","10863173.22","9780627.82","10348942.51","9663191.73","9977950.58","1420.00","1430.00","1443.00","1387.00","1459.00"
"Bajra","All India","Summer","","","400165.00","408083.50","519652.47","","","1082475.30","1052529.48","1226974.35","","","2705.00","2579.00","2361.00"
"Bajra","All India","Total","7652098.00","6840802.00","7572403.00","7374572.50","7357323.49","10863173.22","9780627.82","11431417.81","10715721.21","11204924.93","1420.00","1430.00","1510.00","1453.00","1523.00"
"Ragi","Andaman And Nicobar Islands","Kharif","","0.00","","","","","0.00","","","","","0.00","","",""
"Ragi","Andaman And Nicobar Islands","Total","","0.00","","","","","0.00","","","","","0.00","","",""
"Ragi","Andhra Pradesh","Kharif","33000.00","30000.00","27000.00","27000.00","23000.00","39501.00","31140.00","31995.00","34047.00","33488.00","1197.00","1038.00","1185.00","1261.00","1456.00"
